,query,embedding_output,C1_RT_1,C1_RT_submit,img_name,n_reference,n_select,is_ranked
237,leonardo-dicaprio,"['leonardo-dicaprio', 'jennifer-lawrence', 'ariana-grande']",299.0,760.0,leonardo-dicaprio,2,1,True
238,miley-cyrus,"['miley-cyrus', 'eminem', 'jake-gyllenhaal']",637.0,1268.0,miley-cyrus,2,1,True
239,brad-pitt,"['brad-pitt', 'chris-pratt', 'meghan-markle']",510.0,1036.0,brad-pitt,2,1,True
240,jake-gyllenhaal,"['jake-gyllenhaal', 'emma-stone', 'zendaya']",256.0,797.0,jake-gyllenhaal,2,1,True
241,beyonce,"['beyonce', 'seth-rogan', 'billie-eilish']",267.0,927.0,beyonce,2,1,True
242,chris-pratt,"['chris-pratt', 'taylor-swift', 'jennifer-lawrence']",302.0,902.0,chris-pratt,2,1,True
243,angelina-jolie,"['angelina-jolie', 'billie-eilish', 'barack-obama']",242.0,855.0,angelina-jolie,2,1,True
244,donald-glover,"['donald-glover', 'meghan-markle', 'reese-witherspoon']",227.0,840.0,donald-glover,2,1,True
245,jennifer-lawrence,"['jennifer-lawrence', 'jay-z', 'michael-jackson']",242.0,781.0,jennifer-lawrence,2,1,True
246,lady-gaga,"['lady-gaga', 'zendaya', 'drake']",254.0,810.0,lady-gaga,2,1,True
247,billie-eilish,"['billie-eilish', 'selena-gomez', 'rihanna']",184.0,725.0,billie-eilish,2,1,True
248,emma-watson,"['emma-watson', 'seth-rogan', 'leonardo-dicaprio']",479.0,987.0,emma-watson,2,1,True
249,robert-downey-jr,"['robert-downey-jr', 'beyonce', 'drake']",286.0,933.0,robert-downey-jr,2,1,True
250,selena-gomez,"['selena-gomez', 'ariana-grande', 'miley-cyrus']",291.0,903.0,selena-gomez,2,1,True
251,ryan-reynolds,"['ryan-reynolds', 'melania-trump', 'miley-cyrus']",338.0,968.0,ryan-reynolds,2,1,True
252,meghan-markle,"['meghan-markle', 'billie-eilish', 'jennifer-lawrence']",470.0,1368.0,meghan-markle,2,1,True
253,taylor-swift,"['taylor-swift', 'kanye-west', 'leonardo-dicaprio']",297.0,1049.0,taylor-swift,2,1,True
254,eminem,"['eminem', 'leonardo-dicaprio', 'barack-obama']",251.0,806.0,eminem,2,1,True
255,kanye-west,"['kanye-west', 'robert-downey-jr', 'kim-kardashian']",686.0,1316.0,kanye-west,2,1,True
256,dwayne-johnson,"['dwayne-johnson', 'reese-witherspoon', 'ariana-grande']",710.0,1383.0,dwayne-johnson,2,1,True
257,jay-z,"['jay-z', 'leonardo-dicaprio', 'donald-trump']",381.0,1101.0,jay-z,2,1,True
258,seth-rogan,"['seth-rogan', 'brad-pitt', 'jennifer-lawrence']",317.0,812.0,seth-rogan,2,1,True
259,kristen-stewart,"['kristen-stewart', 'lady-gaga', 'eminem']",497.0,1022.0,kristen-stewart,2,1,True
260,kim-kardashian,"['kim-kardashian', 'post-malone', 'leonardo-dicaprio']",243.0,739.0,kim-kardashian,2,1,True
261,ariana-grande,"['ariana-grande', 'shawn-mendes', 'post-malone']",315.0,810.0,ariana-grande,2,1,True
262,emma-stone,"['emma-stone', 'drake', 'kim-kardashian']",197.0,678.0,emma-stone,2,1,True
